jahr,geber,politikbereich,betrag,plz,name
2012,16,02,20408,107,Christliches Jugenddorfwerk Deutschlands e. V., CJD
2013,16,02,15543,107,Christliches Jugenddorfwerk Deutschlands e. V., CJD
2013,16,02,15600,107,Christliches Jugenddorfwerk Deutschlands e. V., CJD
2013,16,02,35763,107,Christliches Jugenddorfwerk Deutschlands e. V., CJD
2013,16,02,67903,107,Christliches Jugenddorfwerk Deutschlands e. V., CJD
2013,16,02,39432,107,Christliches Jugenddorfwerk Deutschlands e. V., CJD
2013,16,02,22915,107,Christliches Jugenddorfwerk Deutschlands e. V., CJD
2013,16,02,2752,107,Christliches Jugenddorfwerk Deutschlands e. V., CJD
2013,16,02,26087,107,Christliches Jugenddorfwerk Deutschlands e. V., CJD
2013,16,02,26984,107,Christliches Jugenddorfwerk Deutschlands e. V., CJD
2013,16,02,22776,107,Christliches Jugenddorfwerk Deutschlands e. V., CJD
2013,16,02,43659,107,Christliches Jugenddorfwerk Deutschlands e. V., CJD
2013,16,02,10224,107,Christliches Jugenddorfwerk Deutschlands e. V., CJD
2013,16,02,72072,107,Christliches Jugenddorfwerk Deutschlands e. V., CJD
2013,16,02,26180,107,Christliches Jugenddorfwerk Deutschlands e. V., CJD
2013,16,02,40964,107,Christliches Jugenddorfwerk Deutschlands e. V., CJD
2011,23,02,1400,107,Christliches Jugenddorfwerk Deutschlands e. V., CJD
2011,23,02,26650,107,Christliches Jugenddorfwerk Deutschlands e. V., CJD
2011,23,02,5950,107,Christliches Jugenddorfwerk Deutschlands e. V., CJD
2011,23,02,3969,107,Christliches Jugenddorfwerk Deutschlands e. V., CJD
2011,23,02,4200,107,Christliches Jugenddorfwerk Deutschlands e. V., CJD
2011,23,02,4600,107,Christliches Jugenddorfwerk Deutschlands e. V., CJD
2011,23,02,26550,107,Christliches Jugenddorfwerk Deutschlands e. V., CJD
2011,23,02,65742,107,Christliches Jugenddorfwerk Deutschlands e. V., CJD
2011,23,02,8198,107,Christliches Jugenddorfwerk Deutschlands e. V., CJD
2011,23,02,10583,107,Christliches Jugenddorfwerk Deutschlands e. V., CJD
2016,16,02,6600,70,Christliches Jugenddorfwerk Deutschlands gemeinnütziger e. V. (CJD)
2016,16,02,8800,70,Christliches Jugenddorfwerk Deutschlands gemeinnütziger e. V. (CJD)
2016,16,02,9816,70,Christliches Jugenddorfwerk Deutschlands gemeinnütziger e. V. (CJD)
2016,16,02,961,70,Christliches Jugenddorfwerk Deutschlands gemeinnütziger e. V. (CJD)
2016,16,02,31624,70,Christliches Jugenddorfwerk Deutschlands gemeinnütziger e. V. (CJD)
2016,16,02,14849,70,Christliches Jugenddorfwerk Deutschlands gemeinnütziger e. V. (CJD)
2016,16,02,5719,70,Christliches Jugenddorfwerk Deutschlands gemeinnütziger e. V. (CJD)
2016,16,02,2859,70,Christliches Jugenddorfwerk Deutschlands gemeinnütziger e. V. (CJD)
2016,16,02,2859,70,Christliches Jugenddorfwerk Deutschlands gemeinnütziger e. V. (CJD)
2016,16,02,3574,70,Christliches Jugenddorfwerk Deutschlands gemeinnütziger e. V. (CJD)
2016,16,02,19331,70,Christliches Jugenddorfwerk Deutschlands gemeinnütziger e. V. (CJD)
2016,16,02,11494,70,Christliches Jugenddorfwerk Deutschlands gemeinnütziger e. V. (CJD)
2016,16,02,3431,70,Christliches Jugenddorfwerk Deutschlands gemeinnütziger e. V. (CJD)
2016,16,02,13727,70,Christliches Jugenddorfwerk Deutschlands gemeinnütziger e. V. (CJD)
2016,16,02,9151,70,Christliches Jugenddorfwerk Deutschlands gemeinnütziger e. V. (CJD)
2016,16,02,12847,70,Christliches Jugenddorfwerk Deutschlands gemeinnütziger e. V. (CJD)
2016,16,02,11439,70,Christliches Jugenddorfwerk Deutschlands gemeinnütziger e. V. (CJD)
2016,16,02,34672,70,Christliches Jugenddorfwerk Deutschlands gemeinnütziger e. V. (CJD)
2016,16,02,33000,70,Christliches Jugenddorfwerk Deutschlands gemeinnütziger e. V. (CJD)
2016,16,02,8250,70,Christliches Jugenddorfwerk Deutschlands gemeinnütziger e. V. (CJD)
2016,16,02,12375,70,Christliches Jugenddorfwerk Deutschlands gemeinnütziger e. V. (CJD)
2016,16,02,13200,70,Christliches Jugenddorfwerk Deutschlands gemeinnütziger e. V. (CJD)
2016,16,02,8250,70,Christliches Jugenddorfwerk Deutschlands gemeinnütziger e. V. (CJD)
2016,16,02,14190,70,Christliches Jugenddorfwerk Deutschlands gemeinnütziger e. V. (CJD)
2016,16,02,25245,70,Christliches Jugenddorfwerk Deutschlands gemeinnütziger e. V. (CJD)
2016,16,02,8250,70,Christliches Jugenddorfwerk Deutschlands gemeinnütziger e. V. (CJD)
2016,16,02,8800,70,Christliches Jugenddorfwerk Deutschlands gemeinnütziger e. V. (CJD)
2016,16,02,19800,70,Christliches Jugenddorfwerk Deutschlands gemeinnütziger e. V. (CJD)
2016,16,02,9152,70,Christliches Jugenddorfwerk Deutschlands gemeinnütziger e. V. (CJD)
2016,16,02,10296,70,Christliches Jugenddorfwerk Deutschlands gemeinnütziger e. V. (CJD)
2016,16,02,10296,70,Christliches Jugenddorfwerk Deutschlands gemeinnütziger e. V. (CJD)
2016,16,02,5720,70,Christliches Jugenddorfwerk Deutschlands gemeinnütziger e. V. (CJD)
2016,16,02,9152,70,Christliches Jugenddorfwerk Deutschlands gemeinnütziger e. V. (CJD)
2016,16,02,25620,70,Christliches Jugenddorfwerk Deutschlands gemeinnütziger e. V. (CJD)
2016,16,02,11425,70,Christliches Jugenddorfwerk Deutschlands gemeinnütziger e. V. (CJD)
2016,16,02,12770,70,Christliches Jugenddorfwerk Deutschlands gemeinnütziger e. V. (CJD)
2016,16,02,5280,70,Christliches Jugenddorfwerk Deutschlands gemeinnütziger e. V. (CJD)
2016,16,02,8184,70,Christliches Jugenddorfwerk Deutschlands gemeinnütziger e. V. (CJD)
2016,16,02,10506,70,Christliches Jugenddorfwerk Deutschlands gemeinnütziger e. V. (CJD)
2016,16,02,11264,70,Christliches Jugenddorfwerk Deutschlands gemeinnütziger e. V. (CJD)
2016,16,02,4730,70,Christliches Jugenddorfwerk Deutschlands gemeinnütziger e. V. (CJD)
2016,16,02,5720,70,Christliches Jugenddorfwerk Deutschlands gemeinnütziger e. V. (CJD)
2016,16,02,7040,70,Christliches Jugenddorfwerk Deutschlands gemeinnütziger e. V. (CJD)
2016,16,02,12320,70,Christliches Jugenddorfwerk Deutschlands gemeinnütziger e. V. (CJD)
2016,16,02,2288,70,Christliches Jugenddorfwerk Deutschlands gemeinnütziger e. V. (CJD)
2016,16,02,16453,70,Christliches Jugenddorfwerk Deutschlands gemeinnütziger e. V. (CJD)
2016,16,02,21667,70,Christliches Jugenddorfwerk Deutschlands gemeinnütziger e. V. (CJD)
2016,16,02,24039,70,Christliches Jugenddorfwerk Deutschlands gemeinnütziger e. V. (CJD)
2016,16,02,15675,70,Christliches Jugenddorfwerk Deutschlands gemeinnütziger e. V. (CJD)
2016,16,02,23512,70,Christliches Jugenddorfwerk Deutschlands gemeinnütziger e. V. (CJD)
2016,16,02,21758,70,Christliches Jugenddorfwerk Deutschlands gemeinnütziger e. V. (CJD)
2016,16,02,25756,70,Christliches Jugenddorfwerk Deutschlands gemeinnütziger e. V. (CJD)
2016,16,02,7787,70,Christliches Jugenddorfwerk Deutschlands gemeinnütziger e. V. (CJD)
2016,16,02,13859,70,Christliches Jugenddorfwerk Deutschlands gemeinnütziger e. V. (CJD)
2016,16,02,10312,70,Christliches Jugenddorfwerk Deutschlands gemeinnütziger e. V. (CJD)
2016,16,02,12649,70,Christliches Jugenddorfwerk Deutschlands gemeinnütziger e. V. (CJD)
2016,16,02,9294,70,Christliches Jugenddorfwerk Deutschlands gemeinnütziger e. V. (CJD)
2016,16,02,6159,70,Christliches Jugenddorfwerk Deutschlands gemeinnütziger e. V. (CJD)
2016,16,02,32603,70,Christliches Jugenddorfwerk Deutschlands gemeinnütziger e. V. (CJD)
2016,16,02,11439,70,Christliches Jugenddorfwerk Deutschlands gemeinnütziger e. V. (CJD)
2016,16,02,8470,70,Christliches Jugenddorfwerk Deutschlands gemeinnütziger e. V. (CJD)
2016,16,02,1100,70,Christliches Jugenddorfwerk Deutschlands gemeinnütziger e. V. (CJD)
2016,16,02,7700,70,Christliches Jugenddorfwerk Deutschlands gemeinnütziger e. V. (CJD)
2016,16,02,2524,70,Christliches Jugenddorfwerk Deutschlands gemeinnütziger e. V. (CJD)
2016,16,02,24852,70,Christliches Jugenddorfwerk Deutschlands gemeinnütziger e. V. (CJD)
2016,16,02,28616,70,Christliches Jugenddorfwerk Deutschlands gemeinnütziger e. V. (CJD)
2016,16,02,12011,70,Christliches Jugenddorfwerk Deutschlands gemeinnütziger e. V. (CJD)
2016,16,02,11879,70,Christliches Jugenddorfwerk Deutschlands gemeinnütziger e. V. (CJD)
2016,16,02,5719,70,Christliches Jugenddorfwerk Deutschlands gemeinnütziger e. V. (CJD)
2016,16,02,2692,70,Christliches Jugenddorfwerk Deutschlands gemeinnütziger e. V. (CJD)
2016,16,02,12319,70,Christliches Jugenddorfwerk Deutschlands gemeinnütziger e. V. (CJD)
2016,16,02,1759,70,Christliches Jugenddorfwerk Deutschlands gemeinnütziger e. V. (CJD)
2016,16,02,20019,70,Christliches Jugenddorfwerk Deutschlands gemeinnütziger e. V. (CJD)
2016,16,02,6423,70,Christliches Jugenddorfwerk Deutschlands gemeinnütziger e. V. (CJD)
2016,16,02,2859,70,Christliches Jugenddorfwerk Deutschlands gemeinnütziger e. V. (CJD)
2016,16,02,8673,70,Christliches Jugenddorfwerk Deutschlands gemeinnütziger e. V. (CJD)
2016,16,02,19437,70,Christliches Jugenddorfwerk Deutschlands gemeinnütziger e. V. (CJD)
2016,16,02,4282,70,Christliches Jugenddorfwerk Deutschlands gemeinnütziger e. V. (CJD)
2016,16,02,13200,70,Christliches Jugenddorfwerk Deutschlands gemeinnütziger e. V. (CJD)
2016,16,02,4067,70,Christliches Jugenddorfwerk Deutschlands gemeinnütziger e. V. (CJD)
2016,16,02,9401,70,Christliches Jugenddorfwerk Deutschlands gemeinnütziger e. V. (CJD)
2009,02,11,30000,262,Christliches Sozialwerk Berlin e. V.
2010,02,07,530,262,Christliches Sozialwerk Berlin e. V.
2010,02,07,200,262,Christliches Sozialwerk Berlin e. V.
2010,02,11,43019,262,Christliches Sozialwerk Berlin e. V.
2010,02,14,495,262,Christliches Sozialwerk Berlin e. V.
2011,02,11,27513,00,Christliches Sozialwerk Berlin e. V.
2011,02,11,35727,00,Christliches Sozialwerk Berlin e. V.
2011,02,11,48901,00,Christliches Sozialwerk Berlin e. V.
2012,02,11,27254,262,Christliches Sozialwerk Berlin e. V.
2013,02,11,27799,262,Christliches Sozialwerk Berlin e. V.
2014,02,11,30355,262,Christliches Sozialwerk Berlin e. V. (CSW)
2015,02,11,30700,262,Christliches Sozialwerk Berlin e. V. (CSW)
2016,02,11,15000,262,Christliches Sozialwerk Berlin e. V. (CSW)
2014,28,28,210700,217,Chromicent GmbH
2015,28,28,20000,217,Chromicent GmbH
2015,28,28,20000,217,Chromicent GmbH
2016,28,28,20000,217,Chromicent GmbH
2013,28,28,10500,135,Chronomar GmbH
2011,29,28,7000,08,Chronomar GmbH
2013,28,28,15000,188,Chronos Vision GmbH
2012,28,28,3000,31,chs (car hydrant service) GmbH
2013,28,28,14000,31,chs GmbH
2014,28,28,2508,53,CHYVÓN GmbH
2014,28,28,20000,270,Ciaria GmbH
2015,16,02,2133,247,CIB - Computer Dr. Grüneberg GmbH
2015,16,02,833,247,CIB - Computer Dr. Grüneberg GmbH
2016,16,02,4800,247,CIB - Computer Dr. Grüneberg GmbH
2016,16,02,3166,247,CIB - Computer Dr. Grüneberg GmbH
2016,22,21,1411,157,Cimbria Trabzonspor Berlin 1900 e. V.
2015,28,28,113700,82,Cine Chromatix KG
2009,29,28,40840,82,Cine Chromatix KG
2010,29,28,8750,82,Cine Chromatix KG
2012,28,28,1527500,107,Cine plus Mediaservice GmbH & Co. KG
2009,29,28,151080,107,Cine plus Mediaservice GmbH & Co. KG
2010,29,28,1416880,107,Cine plus Mediaservice GmbH & Co. KG
2009,29,28,37080,161,CinePostproduction GmbHNiederlassung Geyer Berlin
2013,17,14,10473,79,CIP City-Initiative für Eltern- und Kinderprojekte e.V.
2014,28,28,169950,287,Circle Products GmbH
2016,28,28,141540,287,Circle Products GmbH
2011,23,02,89964,291,Citizens for Europe e. V.
2015,30,13,147000,313,Citizens For Europe gUG
2013,28,28,11970,22,Citties UG (haftungsbeschränkt)
2010,22,21,1325,77,City Basket Berlin e. V.
2011,22,21,987,83,City Basket Berlin e. V.
2012,22,21,987,83,City Basket Berlin e. V.
2012,28,28,2500,300,City Crown GmbH Produktions- und Handelsgesellschaft
2014,14,17,5000,138,City Slang GmbH & Co. KG
2009,29,28,3790,300,City Tore GmbH
2015,16,02,3760,84,City-Hausverwaltung GmbH
2016,16,02,2650,84,City-Hausverwaltung GmbH
2012,28,28,20000,08,Citypal GmbH
2012,17,04,851200,107,CjD Berlin e. V.
2013,17,04,496533,107,CjD Berlin e. V.
2010,18,04,436960,107,CjD Berlin e. V.
2011,18,04,781314,107,CjD Berlin e. V.
2010,23,02,69174,107,CJD Berlin im Christlichen Jugenddorfwerk Deutschlands e. V.
2010,23,02,8900,107,CJD Berlin im Christlichen Jugenddorfwerk Deutschlands e. V.
2010,23,02,5674,107,CJD Berlin im Christlichen Jugenddorfwerk Deutschlands e. V.
2010,23,02,23085,107,CJD Berlin im Christlichen Jugenddorfwerk Deutschlands e. V.
2010,23,02,11477,107,CJD Berlin im Christlichen Jugenddorfwerk Deutschlands e. V.
2010,23,02,5674,107,CJD Berlin im Christlichen Jugenddorfwerk Deutschlands e. V.
2010,23,02,20747,107,CJD Berlin im Christlichen Jugenddorfwerk Deutschlands e. V.
2016,11,14,90000,70,CJD Berlin-Brandenburg im Christliches Jugenddorfwerk Deutschlands e. V.
2016,17,04,638512,70,CJD Berlin-Brandenburg im Christliches Jugenddorfwerk Deutschlands e. V.
2012,16,02,8280,107,CJD Deutschland e. V.
2012,16,02,542,107,CJD Deutschland e. V.
2013,16,02,28520,70,CJD Deutschland e. V.
2010,23,02,5607,107,CJD Deutschland e. V.
2011,23,02,5972,107,CJD Deutschland e. V.
2013,28,28,94500,299,CL Spedition Berlin Transport und Logistik GmbH
2013,28,28,5000,192,Clauberg Maschinenbau GmbH
2014,28,28,5000,192,Clauberg Maschinenbau GmbH
2011,29,28,3000,372,claviLUX UG
2009,29,28,479540,161,Clemens Fritze Industrieverpackungen KG.
2012,28,28,5000,247,Climatech Berlin GmbH
2013,28,28,5000,247,CLIMATECH Berlin GmbH
2016,28,28,2520,53,Clinc GmbH
2015,28,28,20000,95,Clinical Trial Transport Solutions GmbH
2015,28,28,221410,145,clipkit GmbH
2015,28,28,740000,145,clipkit GmbH
2012,28,28,9960,78,cloudControl GmbH
2012,28,28,2250,78,cloudControl GmbH
2012,28,28,5000,78,cloudControl GmbH
2013,28,28,257825,78,cloudControl GmbH
2013,28,28,326975,78,cloudControl GmbH
2011,29,28,4500,173,CLR - Chemisches Laboratorium Dr. Kurt Richter GmbH
2012,16,10,88445,64,Club Asiaticus e. V.
2012,16,10,671,64,Club Asiaticus e. V.
2012,16,10,355,64,Club Asiaticus e. V.
2013,16,10,87490,64,Club Asiaticus e. V.
2014,16,10,90140,64,Club Asiaticus e. V.
2015,16,10,94765,64,Club Asiaticus e. V.
2016,16,10,94474,64,Club Asiaticus e. V.
2009,29,10,728,64,Club Asiaticus e. V.
2009,29,10,81980,64,Club Asiaticus e. V.
2010,29,10,86045,64,Club Asiaticus e. V.
2011,29,10,86045,64,Club Asiaticus e. V.
2011,29,10,1500,64,Club Asiaticus e. V.
2013,14,17,23172,23,Club Commission
2014,14,17,40000,23,Club Commission - Verband der Berliner Club-, Party- und Kulturereignisveranstalter
2014,14,17,30000,23,Club Commission - Verband der Berliner Club-, Party- und Kulturereignisveranstalter
2016,14,17,10000,23,Club Commission - Verband der Berliner Club-, Party- und Kulturereignisveranstalter
2016,14,17,50000,23,Club Commission - Verband der Berliner Club-, Party- und Kulturereignisveranstalter
2016,14,17,17845,23,Club Commission - Verband der Berliner Club-, Party- und Kulturereignisveranstalter
2013,28,28,19999,23,Club Commission - Verband der Berliner Club-, Party- und Kulturereignisveranstalter
2013,28,28,30000,23,Club Commission - Verband der Berliner Club-, Party- und Kulturereignisveranstalter
2014,28,28,19999,23,Club Commission - Verband der Berliner Club-, Party- und Kulturereignisveranstalter
2015,04,23,10000,08,Club der Polnischen Versager e. V.
2010,03,13,300,250,Club Dialog e. V.
2011,03,13,300,10,Club Dialog e. V.
2012,03,13,300,10,Club Dialog e. V.
2009,04,14,61947,10,Club Dialog e. V.
2010,04,14,61947,10,Club Dialog e. V.
2011,04,14,61826,10,Club Dialog e. V.
2012,04,14,61347,10,Club Dialog e. V.
2013,04,14,91022,10,Club Dialog e. V.
2013,04,23,2000,10,Club Dialog e. V.
2014,04,14,35911,10,Club Dialog e. V.
2015,04,14,36243,10,Club Dialog e. V.
2016,04,14,37487,10,Club Dialog e. V.
2013,15,17,10328,287,Club Dialog e. V.
2012,16,02,9005,10,Club Dialog e. V.
2012,16,02,45000,10,Club Dialog e. V.
2012,16,13,79371,10,Club Dialog e. V.
2012,16,13,63868,10,Club Dialog e. V.
2012,16,13,1000,10,Club Dialog e. V.
2013,16,02,26641,10,Club Dialog e. V.
2013,16,02,8564,10,Club Dialog e. V.
2013,16,13,78199,10,Club Dialog e. V.
2013,16,13,1400,10,Club Dialog e. V.
2013,16,13,115952,10,Club Dialog e. V.
2014,16,02,7549,10,Club Dialog e. V.
2014,16,02,718,10,Club Dialog e. V.
2014,16,02,4910,10,Club Dialog e. V.
2014,16,13,123662,10,Club Dialog e. V.
2014,16,13,78199,10,Club Dialog e. V.
2015,16,02,1986,10,Club Dialog e. V.
2015,16,13,1326,10,Club Dialog e. V.
2015,16,13,161702,10,Club Dialog e. V.
2015,16,13,78199,10,Club Dialog e. V.
2016,16,13,20700,21,Club Dialog e. V.
2016,16,13,2010,21,Club Dialog e. V.
2016,16,13,260433,21,Club Dialog e. V.
2016,16,13,80000,21,Club Dialog e. V.
2012,17,14,15339,10,Club Dialog e. V.
2009,18,14,15339,10,Club Dialog e. V.
2010,18,14,15339,10,Club Dialog e. V.
2011,18,14,15339,10,Club Dialog e. V.
2009,23,02,35673,10,Club Dialog e. V.
2009,23,02,205160,10,Club Dialog e. V.
2009,23,02,46560,10,Club Dialog e. V.
2009,23,02,91720,10,Club Dialog e. V.
2009,23,02,46560,10,Club Dialog e. V.
2009,23,02,4546,10,Club Dialog e. V.
2009,23,02,9092,10,Club Dialog e. V.
2009,23,02,5554,10,Club Dialog e. V.
2009,23,02,6120,10,Club Dialog e. V.
2009,23,13,78199,10,Club Dialog e. V.
2010,23,02,43000,10,Club Dialog e. V.
2010,23,02,45184,10,Club Dialog e. V.
2010,23,02,194031,10,Club Dialog e. V.
2010,23,02,43000,10,Club Dialog e. V.
2010,23,02,43000,10,Club Dialog e. V.
2010,23,02,43000,10,Club Dialog e. V.
2010,23,02,2727,10,Club Dialog e. V.
2010,23,02,6789,10,Club Dialog e. V.
2010,23,02,4147,10,Club Dialog e. V.
2010,23,02,556,10,Club Dialog e. V.
2010,23,02,6120,10,Club Dialog e. V.
2010,23,13,78358,10,Club Dialog e. V.
2010,23,13,1500,10,Club Dialog e. V.
2011,23,02,46560,10,Club Dialog e. V.
2011,23,02,32615,10,Club Dialog e. V.
2011,23,02,121988,10,Club Dialog e. V.
2011,23,02,49137,10,Club Dialog e. V.
2011,23,02,10506,10,Club Dialog e. V.
2011,23,02,46560,10,Club Dialog e. V.
2011,23,02,28857,10,Club Dialog e. V.
2011,23,02,29000,10,Club Dialog e. V.
2009,05,21,3300,203,Club für Leibesübungen 1965 Berlin e. V.
2010,05,21,3300,203,Club für Leibesübungen 1965 Berlin e. V.
2011,05,21,3400,203,Club für Leibesübungen Berlin 1965 e. V.
2011,05,21,538,203,Club für Leibesübungen Berlin 1965 e. V.
2014,05,21,5000,203,Club für Leibesübungen Berlin 1965 e. V.
2014,22,21,2585,203,Club für Leibesübungen Berlin 1965 e. V.
2016,22,21,4548,203,Club für Leibesübungen Berlin 1965 e. V.
2012,05,21,5000,203,Club für Leibesübungen Berlin 1965 e.V.
2013,05,21,5000,203,Club für Leibesübungen Berlin 1965 e.V.
2010,22,21,2815,203,Club für Leibesübungen Berlin 65 e. V.
2011,22,21,2688,203,Club für Leibesübungen Berlin 65 e. V.
2012,22,21,2688,203,Club für Leibesübungen Berlin 65 e. V.
2013,22,21,3131,203,Club für Leibesübungen Berlin 65 e. V.
2015,22,21,3336,203,Club für Leibesübungen Berlin 65 e. V.
2011,11,20,939,212,Club im Kietz e. V.
2012,28,28,68519,23,Clubcommission
2012,28,28,30000,23,Clubcommission
2015,14,17,70000,23,Clubcommission Berlin - Verband der Berliner Club-, Party- und Kulturereignisveranstalter
2009,23,02,5001,22,Clubcommission Berlin e. V.
2010,23,02,5302,22,Clubcommission Berlin e. V.
2011,29,28,68519,23,Clubcommission Berlin e. V.
2015,14,17,4000,43,clubliebe e. V. - Freunde der musikalischen Weltrettung
2015,27,25,5000,50,clubliebe e. V., Freunde der musikalischen Weltrettung
2013,28,28,13440,97,Clubmotion oHG
2014,28,28,15000,22,CLYC UG (haftungsbeschränkt)
2010,29,28,53750,33,Cobra Youth Communications GmbH
2012,20,20,10664,195,Cocas e. V. Berlin
2013,20,20,10664,195,Cocas e. V. Berlin
2014,20,20,12334,195,Cocas e. V. Berlin
2015,20,20,10664,195,Cocas e. V. Berlin
2016,20,20,11095,195,Cocas e. V. Berlin
2009,23,20,14276,156,CoCaS e. V. Berlin
2010,23,20,10792,156,CoCaS e. V. Berlin
2011,23,20,10792,156,Cocas e. V. Berlin
2013,16,10,554773,279,Cocon e. V.
2014,16,10,565269,279,Cocon e. V.
2009,29,10,529250,281,Cocon e. V.
2010,29,10,555670,281,Cocon e. V.
2011,29,10,555320,281,Cocon e. V.
2012,16,10,563900,279,Cocon e.V.
2012,16,10,4940,279,Cocon e.V.
2015,16,10,572230,279,Cocon e.V.
2016,16,10,645221,279,Cocon e.V.
2016,28,28,20000,284,Code Alliance GmbH & Co. KG
2010,29,28,18450,154,code-b agile websolutions GmbH
2012,16,02,1225,215,CÖGA Gesellschaft für Arbeitsförderung in Köpenick mbH
2013,16,02,92263,215,CÖGA Gesellschaft für Arbeitsförderung in Köpenick mbH
2009,23,02,45256,215,CÖGA Gesellschaft für Arbeitsförderung in Köpenick mbH
2009,23,02,1363,215,CÖGA Gesellschaft für Arbeitsförderung in Köpenick mbH
2010,23,02,14231,215,CÖGA Gesellschaft für Arbeitsförderung in Köpenick mbH
2010,23,02,210,215,CÖGA Gesellschaft für Arbeitsförderung in Köpenick mbH
2010,23,02,32000,215,CÖGA Gesellschaft für Arbeitsförderung in Köpenick mbH
2011,23,02,55257,215,CÖGA Gesellschaft für Arbeitsförderung in Köpenick mbH
2009,29,28,2962149,78,COGO Optronics GmbH
2009,29,28,284114,78,COGO Optronics GmbH
2009,29,28,257133,78,COGO Optronics GmbH
2010,29,28,18450,78,COGO Optronics GmbH
2010,29,28,760500,78,COGO Optronics GmbH
2013,16,02,4998,63,CoLabora - Verein für interkulturelle Kommunikation e. V.
2009,11,17,650,233,Collage e. V.
2009,11,28,4000,233,Collage e. V.
2010,11,17,4000,233,Collage e. V.
2011,11,10,4490,233,Collage e. V.
2012,11,10,4000,233,Collage e. V.
2013,11,10,4000,233,Collage e. V.
2014,11,10,4000,216,Collage e. V.
2015,11,10,4000,233,Collage e. V.
2016,11,10,8000,233,Collage e. V.
2009,29,10,35436,233,Collage e. V.
2014,16,10,36499,233,Collage e. V. - Kreativzentrum für Frauen
2015,16,10,37270,233,Collage e. V. - Kreativzentrum für Frauen
2013,16,10,26800,233,Collage e. V. Kreativzentrum für Frauen
2011,29,10,35500,233,Collage e. V. Kreativzentrum für Frauen
2012,16,10,71000,233,Collage e. V. Kreativzentrum für Frauen
2010,29,10,53250,233,Collage e. V. Kreativzentrum für Frauen
2016,11,17,1039,228,collegium artis e. V.
2009,15,17,40000,10,Collegium Hungaricum Berlin
2012,28,28,20000,134,Colors of Eden GmbH
2012,28,28,20000,217,ColVisTec AG
2010,29,28,59200,217,ColVisTec AG
2009,05,17,1500,152,Comenius Garten, Förderkreis Böhmisches Dorf in Berlin-Neuköln e. V.
2013,17,04,5831,56,ComFort Schulungszentrum GmbH
2014,16,02,54000,56,ComFort Schulungszentrum GmbH
2014,16,02,54000,56,ComFort Schulungszentrum GmbH
2014,16,02,30800,56,ComFort Schulungszentrum GmbH
2014,16,02,40200,56,ComFort Schulungszentrum GmbH
2014,16,02,31590,56,ComFort Schulungszentrum GmbH
2014,16,02,68400,56,ComFort Schulungszentrum GmbH
2014,16,02,8046,56,ComFort Schulungszentrum GmbH
2014,16,02,31920,56,ComFort Schulungszentrum GmbH
2014,16,02,56489,56,ComFort Schulungszentrum GmbH
2014,16,02,144000,56,ComFort Schulungszentrum GmbH
2014,16,02,49280,56,ComFort Schulungszentrum GmbH
2014,16,02,73500,56,ComFort Schulungszentrum GmbH
2014,16,02,73500,56,ComFort Schulungszentrum GmbH
2014,16,02,103892,56,ComFort Schulungszentrum GmbH
2014,16,02,103892,56,ComFort Schulungszentrum GmbH
2014,16,02,42000,56,ComFort Schulungszentrum GmbH
2014,16,02,42000,56,ComFort Schulungszentrum GmbH
2014,16,02,74880,56,ComFort Schulungszentrum GmbH
2014,16,02,8190,56,ComFort Schulungszentrum GmbH
2014,16,02,14999,56,ComFort Schulungszentrum GmbH
2014,16,02,19652,56,ComFort Schulungszentrum GmbH
2014,17,04,37038,56,ComFort Schulungszentrum GmbH
2015,17,04,47898,56,ComFort Schulungszentrum GmbH
2016,17,04,23437,56,ComFort Schulungszentrum GmbH
2009,23,02,50000,56,ComFort Schulungszentrum GmbH
2009,23,02,15803,56,ComFort Schulungszentrum GmbH
2009,23,02,782,56,ComFort Schulungszentrum GmbH
2009,23,02,87796,56,ComFort Schulungszentrum GmbH
2009,23,02,2036,56,ComFort Schulungszentrum GmbH
2009,23,02,7350,56,ComFort Schulungszentrum GmbH
2009,23,02,3821,56,ComFort Schulungszentrum GmbH
2009,23,02,2304,56,ComFort Schulungszentrum GmbH
2009,23,02,29568,56,ComFort Schulungszentrum GmbH
2009,23,02,29568,56,ComFort Schulungszentrum GmbH
2009,23,02,29398,56,ComFort Schulungszentrum GmbH
2009,23,02,43516,56,ComFort Schulungszentrum GmbH
2009,23,02,20986,56,ComFort Schulungszentrum GmbH
2009,23,02,48548,56,ComFort Schulungszentrum GmbH
2009,23,20,7703,56,ComFort Schulungszentrum GmbH
2009,23,20,24480,56,ComFort Schulungszentrum GmbH
2009,23,20,192370,56,ComFort Schulungszentrum GmbH
2009,23,20,32658,56,ComFort Schulungszentrum GmbH
2015,20,20,331200,56,ComFort Schulungszentrum GmbH
2015,20,20,320000,56,ComFort Schulungszentrum GmbH
2012,16,02,38155,56,ComFort-GmbH
2012,16,02,31959,56,ComFort-GmbH
2012,16,02,23185,56,ComFort-GmbH
2012,16,02,17805,56,ComFort-GmbH
2012,16,02,6474,56,ComFort-GmbH
2012,16,02,48327,56,ComFort-GmbH
2012,16,02,9600,56,ComFort-GmbH
2012,16,02,8519,56,ComFort-GmbH
2012,16,02,37436,56,ComFort-GmbH
2012,16,02,5400,56,ComFort-GmbH
2012,16,02,6300,56,ComFort-GmbH
2012,16,02,28742,56,ComFort-GmbH
2012,16,02,15011,56,ComFort-GmbH
2013,16,02,47880,56,ComFort-GmbH
2013,16,02,39660,56,ComFort-GmbH
